ProjectID,StartDate,EndDate,DurationDays,Budget,ActualCost,RiskLevel,TeamSize,ScopeComplexity,Domain,Status,Success
1,2020-05-10,2021-01-27,262,118385,97374,Medium,44,3,HR,On Track,1
2,2021-07-18,2021-11-23,128,176131,149275,Medium,23,5,Marketing,On Track,1
3,2021-02-04,2021-07-30,176,483374,409422,Low,22,1,IT,Cancelled,0
4,2020-12-31,2021-11-29,333,246489,261200,Critical,5,5,Finance,On Track,0
5,2022-06-27,2023-02-19,237,73289,80501,Medium,18,1,Marketing,Delayed,0
6,2023-12-10,2024-05-18,160,422370,436454,Low,6,2,Marketing,Completed,0
7,2019-04-12,2019-10-10,181,412937,489276,Low,32,1,Finance,On Track,0
8,2021-05-23,2021-08-14,83,321967,305851,Low,34,4,HR,Delayed,1
9,2018-11-27,2019-04-25,149,241232,220554,Low,42,3,Sales,Cancelled,0
10,2022-01-22,2022-07-31,190,354119,406330,Low,8,2,Marketing,On Track,0
11,2023-11-06,2024-03-30,145,59540,52957,Low,5,1,Operations,Completed,1
12,2018-05-11,2018-08-23,104,66364,78660,Low,12,5,Marketing,Delayed,0
13,2022-08-13,2023-01-02,142,447827,360438,Low,33,2,Sales,Delayed,1
14,2020-02-09,2020-06-21,133,77663,92259,High,43,2,HR,Delayed,0
15,2022-02-24,2022-12-04,283,101991,83353,Low,7,1,HR,On Track,1
16,2021-04-30,2022-01-11,256,238751,276105,Medium,36,2,Operations,Completed,0
17,2020-08-13,2021-01-01,141,416326,420939,Medium,14,5,Marketing,Completed,0
18,2021-03-30,2021-08-05,128,212049,253862,Critical,14,2,HR,Delayed,0
19,2019-04-05,2019-10-04,182,144704,120034,Low,23,5,Sales,Completed,1
20,2018-01-22,2018-09-02,223,99115,101250,Low,38,1,Finance,Delayed,0
21,2020-01-18,2020-12-22,339,403151,478830,Critical,37,3,IT,Delayed,0
22,2019-04-20,2019-10-29,192,269295,271783,High,27,2,IT,Delayed,0
23,2020-12-18,2021-08-12,237,241962,254485,High,32,3,IT,Delayed,0
24,2023-08-10,2024-02-24,198,247459,266834,Low,36,5,Marketing,Delayed,0
25,2020-09-02,2021-03-11,190,199143,195521,Low,11,2,Operations,Completed,1
26,2022-12-12,2023-03-19,97,240347,252610,Medium,33,4,HR,Delayed,0
27,2018-07-09,2019-05-23,318,61938,64026,High,12,3,Finance,On Track,0
28,2019-07-17,2020-05-18,306,478411,555178,Medium,5,2,Sales,On Track,0
29,2023-03-15,2024-02-11,333,403824,330400,Medium,7,3,Finance,Delayed,1
30,2021-06-21,2021-12-02,164,54000,49268,Low,28,2,Sales,Completed,1
31,2022-03-09,2022-10-19,224,251660,297000,High,27,1,Marketing,Delayed,0
32,2019-10-09,2020-03-14,157,413186,477686,Low,12,3,IT,Delayed,0
33,2023-08-31,2023-11-01,62,405754,398557,Low,41,4,Marketing,Delayed,1
34,2021-07-21,2022-02-11,205,301492,315979,Medium,7,4,Operations,Delayed,0
35,2019-08-24,2019-10-14,51,415835,378805,Medium,37,5,Operations,On Track,1
36,2023-08-24,2024-05-17,267,88304,77287,Low,32,2,Sales,Delayed,1
37,2018-08-30,2019-03-05,187,381593,376052,Low,12,3,HR,Completed,1
38,2023-08-04,2023-10-10,67,132986,125185,Medium,38,5,HR,Completed,1
39,2021-09-25,2022-06-11,259,201836,208589,Low,39,3,Sales,Delayed,0
40,2023-11-10,2024-01-29,80,158940,132094,Medium,36,2,Operations,On Track,1
41,2021-10-22,2022-08-11,293,350638,417174,Low,28,4,Operations,On Track,0
42,2022-01-18,2022-11-26,312,315517,376880,Medium,18,1,Operations,On Track,0
43,2020-02-15,2020-04-11,56,193233,208549,Medium,36,4,Marketing,Delayed,0
44,2018-02-04,2018-10-17,255,147532,149662,Low,47,5,Operations,On Track,0
45,2023-05-10,2024-03-11,306,404802,373960,Low,20,1,Finance,Delayed,1
46,2022-05-05,2023-03-16,315,435777,490474,Low,8,5,IT,Delayed,0
47,2020-10-18,2021-02-21,126,150386,161498,Low,41,2,Operations,On Track,0
48,2021-02-03,2021-12-13,313,77350,66911,Critical,25,1,Sales,Delayed,1
